id_servidor,nome,pesquisador_qid,id_unidade,unidade,id_centro,centro,coordenador,internos,externos
5758354,Abrahao Sanderson Nunes Fernandes Da Silva,,5486,CERES - DEPARTAMENTO DE HISTÓRIA,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,2,2,1
23906,Ada Cristina Scudelari,,52,DEPARTAMENTO DE ENGENHARIA CIVIL,445,CENTRO DE TECNOLOGIA,2,2,2
5754609,Adaildo Gomes D Assuncao,,5204,DEPARTAMENTO DE ENGENHARIA DE COMUNICACOES,445,CENTRO DE TECNOLOGIA,1,0,2
5757049,Adala Nayana De Sousa Mata,,7278,ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,0,2,0
5757114,Ada Lima Ferreira De Sousa,,4885,ESCOLA DE CIÊNCIAS E TECNOLOGIA,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,1,3,0
5760936,Adalto Soares,,284,ESCOLA DE MÚSICA,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,0,1,0
21846,Adelardo Adelino Dantas De Medeiros,,56,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,445,CENTRO DE TECNOLOGIA,1,2,3
2263697,Adele Guimaraes Ubarana Santos,,1452,NÚCLEO DE EDUCAÇÃO DA INFÂNCIA,5965,CENTRO DE EDUCAÇÃO,0,1,0
5753103,Adelena Goncalves Maia,,52,DEPARTAMENTO DE ENGENHARIA CIVIL,445,CENTRO DE TECNOLOGIA,0,2,0
21730,Ademir Oliveira Da Silva,,6025,INSTITUTO DE QUÍMICA,439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,0,0,1
25430,Aderson Farias Do Nascimento,,4894,DEPARTAMENTO DE GEOFÍSICA,439,CENTRO DE CIÊNCIAS EXATAS E DA TERRA,9,1,14
5753542,Adilson José De Oliveira,,50,DEPARTAMENTO DE ENGENHARIA MECANICA,445,CENTRO DE TECNOLOGIA,0,1,1
22129,Adir Luiz Ferreira,,5967,DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO,5965,CENTRO DE EDUCAÇÃO,0,1,0
5756303,Ádley Antonini Neves de Lima,Q89550915,196,DEPARTAMENTO DE FARMACIA,441,CENTRO DE CIÊNCIAS DA SAÚDE,1,2,0
26212,Adriana Augusto De Rezende,,117,DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS,441,CENTRO DE CIÊNCIAS DA SAÚDE,1,4,5
25595,Adriana da Fonte Porto Carreiro,Q89499943,195,DEPARTAMENTO DE ODONTOLOGIA,441,CENTRO DE CIÊNCIAS DA SAÚDE,0,1,1
5751834,Adriana Da Silva Brito,,4890,FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,2,4,0
3030265,Adriana Ferreira Uchoa,,179,DEPARTAMENTO DE BIOLOGIA CELULAR E GENÉTICA,440,CENTRO DE BIOCIÊNCIAS,5,9,2
5752176,Adriana Gomes Magalhães,Q90230560,4890,FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA,605,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,0,7,0
5752266,Adrian Antonio Garda,Q54563830,183,DEPARTAMENTO DE BOTÂNICA E ZOOLOGIA,440,CENTRO DE BIOCIÊNCIAS,1,0,1
5753621,Adriana Rosa Carvalho,,8366,DEPARTAMENTO DE ECOLOGIA,440,CENTRO DE BIOCIÊNCIAS,0,1,1
5758395,Adriane Cenci,,5967,DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO,5965,CENTRO DE EDUCAÇÃO,1,2,0
5757385,Adrianne Paula Vieira De Andrade,,9726,DEPARTAMENTO DE COMPUTAÇÃO E TECNOLOGIA,1482,CENTRO DE  ENSINO SUPERIOR DO SERIDÓ,0,0,1
